onset	duration	trial_type	stim_file	stim_file_index	response_time	outcome	note
0.008	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
1.008	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
2.004	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
3.004	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
4.004	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
5.004	0.0	n/a	n/a	n/a	0.438	hit	n/a
6.004	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
7.005	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
8.005	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
9.005	0.0	n/a	n/a	n/a	0.390	hit	n/a
10.005	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
11.005	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
12.007	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
13.007	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
14.008	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
15.008	0.0	n/a	n/a	n/a	0.371	hit	n/a
16.008	0.3	37	task-sfprescaled_stimuli.npy	301	n/a	correct_rejection	n/a
16.507	0.3	37	task-sfprescaled_stimuli.npy	298	n/a	n/a	n/a
17.008	0.3	37	task-sfprescaled_stimuli.npy	296	n/a	correct_rejection	n/a
17.509	0.3	37	task-sfprescaled_stimuli.npy	297	n/a	n/a	n/a
18.008	0.3	37	task-sfprescaled_stimuli.npy	300	n/a	correct_rejection	n/a
18.509	0.3	37	task-sfprescaled_stimuli.npy	299	n/a	n/a	n/a
19.008	0.3	37	task-sfprescaled_stimuli.npy	303	0.360	hit	n/a
19.509	0.3	37	task-sfprescaled_stimuli.npy	302	n/a	n/a	n/a
20.008	0.3	48	task-sfprescaled_stimuli.npy	436	n/a	correct_rejection	blank trial
20.508	0.3	48	task-sfprescaled_stimuli.npy	432	n/a	n/a	blank trial
21.008	0.3	48	task-sfprescaled_stimuli.npy	439	n/a	correct_rejection	blank trial
21.509	0.3	48	task-sfprescaled_stimuli.npy	435	n/a	n/a	blank trial
22.008	0.3	48	task-sfprescaled_stimuli.npy	438	n/a	correct_rejection	blank trial
22.509	0.3	48	task-sfprescaled_stimuli.npy	434	n/a	n/a	blank trial
23.008	0.3	48	task-sfprescaled_stimuli.npy	437	n/a	correct_rejection	blank trial
23.508	0.3	48	task-sfprescaled_stimuli.npy	433	n/a	n/a	blank trial
24.008	0.3	5	task-sfprescaled_stimuli.npy	46	n/a	correct_rejection	n/a
24.509	0.3	5	task-sfprescaled_stimuli.npy	40	n/a	n/a	n/a
25.008	0.3	5	task-sfprescaled_stimuli.npy	45	n/a	correct_rejection	n/a
25.509	0.3	5	task-sfprescaled_stimuli.npy	41	n/a	n/a	n/a
26.008	0.3	5	task-sfprescaled_stimuli.npy	47	n/a	correct_rejection	n/a
26.509	0.3	5	task-sfprescaled_stimuli.npy	43	n/a	n/a	n/a
27.008	0.3	5	task-sfprescaled_stimuli.npy	42	n/a	correct_rejection	n/a
27.508	0.3	5	task-sfprescaled_stimuli.npy	44	n/a	n/a	n/a
28.008	0.3	10	task-sfprescaled_stimuli.npy	80	n/a	correct_rejection	n/a
28.508	0.3	10	task-sfprescaled_stimuli.npy	82	n/a	n/a	n/a
29.008	0.3	10	task-sfprescaled_stimuli.npy	87	n/a	correct_rejection	n/a
29.509	0.3	10	task-sfprescaled_stimuli.npy	83	n/a	n/a	n/a
30.008	0.3	10	task-sfprescaled_stimuli.npy	81	0.353	hit	n/a
30.508	0.3	10	task-sfprescaled_stimuli.npy	86	n/a	n/a	n/a
31.008	0.3	10	task-sfprescaled_stimuli.npy	85	n/a	correct_rejection	n/a
31.509	0.3	10	task-sfprescaled_stimuli.npy	84	n/a	n/a	n/a
32.008	0.3	14	task-sfprescaled_stimuli.npy	112	n/a	correct_rejection	n/a
32.509	0.3	14	task-sfprescaled_stimuli.npy	116	n/a	n/a	n/a
33.008	0.3	14	task-sfprescaled_stimuli.npy	117	n/a	correct_rejection	n/a
33.509	0.3	14	task-sfprescaled_stimuli.npy	119	n/a	n/a	n/a
34.008	0.3	14	task-sfprescaled_stimuli.npy	115	n/a	correct_rejection	n/a
34.509	0.3	14	task-sfprescaled_stimuli.npy	118	n/a	n/a	n/a
35.008	0.3	14	task-sfprescaled_stimuli.npy	114	n/a	correct_rejection	n/a
35.509	0.3	14	task-sfprescaled_stimuli.npy	113	n/a	n/a	n/a
36.008	0.3	2	task-sfprescaled_stimuli.npy	23	n/a	correct_rejection	n/a
36.509	0.3	2	task-sfprescaled_stimuli.npy	18	n/a	n/a	n/a
37.008	0.3	2	task-sfprescaled_stimuli.npy	20	n/a	correct_rejection	n/a
37.508	0.3	2	task-sfprescaled_stimuli.npy	16	n/a	n/a	n/a
38.008	0.3	2	task-sfprescaled_stimuli.npy	22	n/a	correct_rejection	n/a
38.508	0.3	2	task-sfprescaled_stimuli.npy	21	n/a	n/a	n/a
39.008	0.3	2	task-sfprescaled_stimuli.npy	19	n/a	correct_rejection	n/a
39.508	0.3	2	task-sfprescaled_stimuli.npy	17	n/a	n/a	n/a
40.008	0.3	32	task-sfprescaled_stimuli.npy	258	n/a	correct_rejection	n/a
40.508	0.3	32	task-sfprescaled_stimuli.npy	261	n/a	n/a	n/a
41.008	0.3	32	task-sfprescaled_stimuli.npy	257	n/a	correct_rejection	n/a
41.508	0.3	32	task-sfprescaled_stimuli.npy	259	n/a	n/a	n/a
42.008	0.3	32	task-sfprescaled_stimuli.npy	262	0.660	hit	n/a
42.508	0.3	32	task-sfprescaled_stimuli.npy	256	n/a	n/a	n/a
43.008	0.3	32	task-sfprescaled_stimuli.npy	263	n/a	correct_rejection	n/a
43.508	0.3	32	task-sfprescaled_stimuli.npy	260	n/a	n/a	n/a
44.008	0.3	48	task-sfprescaled_stimuli.npy	388	n/a	correct_rejection	blank trial
44.508	0.3	48	task-sfprescaled_stimuli.npy	389	n/a	n/a	blank trial
45.008	0.3	48	task-sfprescaled_stimuli.npy	390	n/a	correct_rejection	blank trial
45.508	0.3	48	task-sfprescaled_stimuli.npy	384	n/a	n/a	blank trial
46.008	0.3	48	task-sfprescaled_stimuli.npy	386	n/a	correct_rejection	blank trial
46.509	0.3	48	task-sfprescaled_stimuli.npy	387	n/a	n/a	blank trial
47.008	0.3	48	task-sfprescaled_stimuli.npy	391	0.594	hit	blank trial
47.502	0.3	48	task-sfprescaled_stimuli.npy	385	n/a	n/a	blank trial
48.008	0.3	38	task-sfprescaled_stimuli.npy	304	n/a	correct_rejection	n/a
48.503	0.3	38	task-sfprescaled_stimuli.npy	310	n/a	n/a	n/a
49.008	0.3	38	task-sfprescaled_stimuli.npy	308	n/a	correct_rejection	n/a
49.503	0.3	38	task-sfprescaled_stimuli.npy	307	n/a	n/a	n/a
50.008	0.3	38	task-sfprescaled_stimuli.npy	311	n/a	correct_rejection	n/a
50.503	0.3	38	task-sfprescaled_stimuli.npy	305	n/a	n/a	n/a
51.008	0.3	38	task-sfprescaled_stimuli.npy	309	n/a	correct_rejection	n/a
51.503	0.3	38	task-sfprescaled_stimuli.npy	306	n/a	n/a	n/a
52.004	0.3	48	task-sfprescaled_stimuli.npy	460	n/a	correct_rejection	blank trial
52.504	0.3	48	task-sfprescaled_stimuli.npy	456	n/a	n/a	blank trial
53.004	0.3	48	task-sfprescaled_stimuli.npy	458	n/a	correct_rejection	blank trial
53.504	0.3	48	task-sfprescaled_stimuli.npy	457	n/a	n/a	blank trial
54.004	0.3	48	task-sfprescaled_stimuli.npy	463	0.598	hit	blank trial
54.504	0.3	48	task-sfprescaled_stimuli.npy	461	n/a	n/a	blank trial
55.004	0.3	48	task-sfprescaled_stimuli.npy	462	n/a	correct_rejection	blank trial
55.504	0.3	48	task-sfprescaled_stimuli.npy	459	n/a	n/a	blank trial
56.005	0.3	40	task-sfprescaled_stimuli.npy	327	n/a	correct_rejection	n/a
56.504	0.3	40	task-sfprescaled_stimuli.npy	322	n/a	n/a	n/a
57.006	0.3	40	task-sfprescaled_stimuli.npy	326	n/a	correct_rejection	n/a
57.506	0.3	40	task-sfprescaled_stimuli.npy	324	n/a	n/a	n/a
58.006	0.3	40	task-sfprescaled_stimuli.npy	325	n/a	correct_rejection	n/a
58.506	0.3	40	task-sfprescaled_stimuli.npy	323	n/a	n/a	n/a
59.005	0.3	40	task-sfprescaled_stimuli.npy	320	0.659	hit	n/a
59.507	0.3	40	task-sfprescaled_stimuli.npy	321	n/a	n/a	n/a
