onset	duration	trial_type	stim_file	stim_file_index	note
16.006	0.3	18	task-sfprescaled_stimuli.npy	145	n/a
16.507	0.3	18	task-sfprescaled_stimuli.npy	146	n/a
17.007	0.3	18	task-sfprescaled_stimuli.npy	151	n/a
17.508	0.3	18	task-sfprescaled_stimuli.npy	144	n/a
18.008	0.3	18	task-sfprescaled_stimuli.npy	150	n/a
18.509	0.3	18	task-sfprescaled_stimuli.npy	147	n/a
19.008	0.3	18	task-sfprescaled_stimuli.npy	149	n/a
19.507	0.3	18	task-sfprescaled_stimuli.npy	148	n/a
20.008	0.3	48	task-sfprescaled_stimuli.npy	429	blank trial
20.507	0.3	48	task-sfprescaled_stimuli.npy	424	blank trial
21.008	0.3	48	task-sfprescaled_stimuli.npy	427	blank trial
21.507	0.3	48	task-sfprescaled_stimuli.npy	425	blank trial
22.007	0.3	48	task-sfprescaled_stimuli.npy	431	blank trial
22.509	0.3	48	task-sfprescaled_stimuli.npy	430	blank trial
23.009	0.3	48	task-sfprescaled_stimuli.npy	428	blank trial
23.509	0.3	48	task-sfprescaled_stimuli.npy	426	blank trial
24.009	0.3	24	task-sfprescaled_stimuli.npy	193	n/a
24.509	0.3	24	task-sfprescaled_stimuli.npy	196	n/a
25.009	0.3	24	task-sfprescaled_stimuli.npy	192	n/a
25.510	0.3	24	task-sfprescaled_stimuli.npy	198	n/a
26.009	0.3	24	task-sfprescaled_stimuli.npy	199	n/a
26.510	0.3	24	task-sfprescaled_stimuli.npy	197	n/a
27.009	0.3	24	task-sfprescaled_stimuli.npy	195	n/a
27.509	0.3	24	task-sfprescaled_stimuli.npy	194	n/a
28.009	0.3	16	task-sfprescaled_stimuli.npy	129	n/a
28.509	0.3	16	task-sfprescaled_stimuli.npy	128	n/a
29.009	0.3	16	task-sfprescaled_stimuli.npy	133	n/a
29.509	0.3	16	task-sfprescaled_stimuli.npy	132	n/a
30.009	0.3	16	task-sfprescaled_stimuli.npy	135	n/a
30.509	0.3	16	task-sfprescaled_stimuli.npy	130	n/a
31.009	0.3	16	task-sfprescaled_stimuli.npy	131	n/a
31.509	0.3	16	task-sfprescaled_stimuli.npy	134	n/a
32.009	0.3	2	task-sfprescaled_stimuli.npy	23	n/a
32.509	0.3	2	task-sfprescaled_stimuli.npy	22	n/a
33.009	0.3	2	task-sfprescaled_stimuli.npy	16	n/a
33.509	0.3	2	task-sfprescaled_stimuli.npy	21	n/a
34.009	0.3	2	task-sfprescaled_stimuli.npy	19	n/a
34.510	0.3	2	task-sfprescaled_stimuli.npy	17	n/a
35.009	0.3	2	task-sfprescaled_stimuli.npy	20	n/a
35.509	0.3	2	task-sfprescaled_stimuli.npy	18	n/a
36.009	0.3	17	task-sfprescaled_stimuli.npy	138	n/a
36.509	0.3	17	task-sfprescaled_stimuli.npy	137	n/a
37.009	0.3	17	task-sfprescaled_stimuli.npy	141	n/a
37.509	0.3	17	task-sfprescaled_stimuli.npy	140	n/a
38.009	0.3	17	task-sfprescaled_stimuli.npy	142	n/a
38.509	0.3	17	task-sfprescaled_stimuli.npy	139	n/a
39.009	0.3	17	task-sfprescaled_stimuli.npy	143	n/a
