onset	duration	trial_type	stim_file	stim_file_index	response_time	outcome	note
0.015	0.0	n/a	n/a	n/a	-13.155	false_alarm	n/a
1.015	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
2.015	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
3.015	0.0	n/a	n/a	n/a	0.587	hit	n/a
4.017	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
5.017	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
6.017	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
7.017	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
8.017	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
9.017	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
10.017	0.0	n/a	n/a	n/a	0.585	hit	n/a
11.018	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
12.017	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
13.018	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
14.017	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
15.018	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
16.018	0.3	37	task-sfprescaled_stimuli.npy	300	n/a	correct_rejection	n/a
16.503	0.3	37	task-sfprescaled_stimuli.npy	299	n/a	n/a	n/a
17.018	0.3	37	task-sfprescaled_stimuli.npy	303	n/a	correct_rejection	n/a
17.503	0.3	37	task-sfprescaled_stimuli.npy	297	n/a	n/a	n/a
18.017	0.3	37	task-sfprescaled_stimuli.npy	301	n/a	correct_rejection	n/a
18.503	0.3	37	task-sfprescaled_stimuli.npy	298	n/a	n/a	n/a
19.005	0.3	37	task-sfprescaled_stimuli.npy	296	n/a	correct_rejection	n/a
19.504	0.3	37	task-sfprescaled_stimuli.npy	302	n/a	n/a	n/a
20.004	0.3	48	task-sfprescaled_stimuli.npy	413	0.622	hit	blank trial
20.504	0.3	48	task-sfprescaled_stimuli.npy	412	n/a	n/a	blank trial
21.005	0.3	48	task-sfprescaled_stimuli.npy	414	n/a	correct_rejection	blank trial
21.505	0.3	48	task-sfprescaled_stimuli.npy	410	n/a	n/a	blank trial
22.005	0.3	48	task-sfprescaled_stimuli.npy	408	0.457	hit	blank trial
22.505	0.3	48	task-sfprescaled_stimuli.npy	415	n/a	n/a	blank trial
23.005	0.3	48	task-sfprescaled_stimuli.npy	409	n/a	correct_rejection	blank trial
23.505	0.3	48	task-sfprescaled_stimuli.npy	411	n/a	n/a	blank trial
24.006	0.3	0	task-sfprescaled_stimuli.npy	3	n/a	correct_rejection	n/a
24.506	0.3	0	task-sfprescaled_stimuli.npy	5	n/a	n/a	n/a
25.006	0.3	0	task-sfprescaled_stimuli.npy	4	0.438	hit	n/a
25.507	0.3	0	task-sfprescaled_stimuli.npy	7	n/a	n/a	n/a
26.006	0.3	0	task-sfprescaled_stimuli.npy	0	n/a	correct_rejection	n/a
