onset	duration	trial_type	stim_file	stim_file_index	note
16.003	0.3	46	task-sfprescaled_stimuli.npy	368	n/a
16.503	0.3	46	task-sfprescaled_stimuli.npy	372	n/a
17.006	0.3	46	task-sfprescaled_stimuli.npy	370	n/a
17.503	0.3	46	task-sfprescaled_stimuli.npy	369	n/a
18.006	0.3	46	task-sfprescaled_stimuli.npy	371	n/a
18.503	0.3	46	task-sfprescaled_stimuli.npy	373	n/a
19.003	0.3	46	task-sfprescaled_stimuli.npy	375	n/a
19.503	0.3	46	task-sfprescaled_stimuli.npy	374	n/a
20.003	0.3	24	task-sfprescaled_stimuli.npy	199	n/a
20.503	0.3	24	task-sfprescaled_stimuli.npy	198	n/a
21.003	0.3	24	task-sfprescaled_stimuli.npy	192	n/a
21.503	0.3	24	task-sfprescaled_stimuli.npy	197	n/a
22.003	0.3	24	task-sfprescaled_stimuli.npy	196	n/a
22.503	0.3	24	task-sfprescaled_stimuli.npy	194	n/a
23.003	0.3	24	task-sfprescaled_stimuli.npy	195	n/a
23.503	0.3	24	task-sfprescaled_stimuli.npy	193	n/a
24.003	0.3	1	task-sfprescaled_stimuli.npy	13	n/a
24.503	0.3	1	task-sfprescaled_stimuli.npy	12	n/a
25.003	0.3	1	task-sfprescaled_stimuli.npy	9	n/a
25.503	0.3	1	task-sfprescaled_stimuli.npy	14	n/a
26.003	0.3	1	task-sfprescaled_stimuli.npy	8	n/a
26.503	0.3	1	task-sfprescaled_stimuli.npy	11	n/a
27.003	0.3	1	task-sfprescaled_stimuli.npy	10	n/a
27.503	0.3	1	task-sfprescaled_stimuli.npy	15	n/a
28.003	0.3	43	task-sfprescaled_stimuli.npy	348	n/a
28.503	0.3	43	task-sfprescaled_stimuli.npy	344	n/a
29.003	0.3	43	task-sfprescaled_stimuli.npy	346	n/a
29.503	0.3	43	task-sfprescaled_stimuli.npy	347	n/a
30.003	0.3	43	task-sfprescaled_stimuli.npy	350	n/a
30.503	0.3	43	task-sfprescaled_stimuli.npy	349	n/a
31.003	0.3	43	task-sfprescaled_stimuli.npy	351	n/a
31.503	0.3	43	task-sfprescaled_stimuli.npy	345	n/a
32.003	0.3	26	task-sfprescaled_stimuli.npy	209	n/a
32.503	0.3	26	task-sfprescaled_stimuli.npy	215	n/a
33.003	0.3	26	task-sfprescaled_stimuli.npy	210	n/a
33.503	0.3	26	task-sfprescaled_stimuli.npy	208	n/a
34.003	0.3	26	task-sfprescaled_stimuli.npy	214	n/a
34.503	0.3	26	task-sfprescaled_stimuli.npy	213	n/a
35.003	0.3	26	task-sfprescaled_stimuli.npy	212	n/a
35.503	0.3	26	task-sfprescaled_stimuli.npy	211	n/a
36.003	0.3	17	task-sfprescaled_stimuli.npy	142	n/a
36.503	0.3	17	task-sfprescaled_stimuli.npy	139	n/a
37.003	0.3	17	task-sfprescaled_stimuli.npy	138	n/a
37.503	0.3	17	task-sfprescaled_stimuli.npy	136	n/a
38.003	0.3	17	task-sfprescaled_stimuli.npy	140	n/a
38.503	0.3	17	task-sfprescaled_stimuli.npy	143	n/a
39.003	0.3	17	task-sfprescaled_stimuli.npy	141	n/a
39.503	0.3	17	task-sfprescaled_stimuli.npy	137	n/a
40.003	0.3	42	task-sfprescaled_stimuli.npy	343	n/a
40.503	0.3	42	task-sfprescaled_stimuli.npy	339	n/a
41.003	0.3	42	task-sfprescaled_stimuli.npy	336	n/a
41.503	0.3	42	task-sfprescaled_stimuli.npy	342	n/a
42.003	0.3	42	task-sfprescaled_stimuli.npy	338	n/a
42.503	0.3	42	task-sfprescaled_stimuli.npy	340	n/a
43.003	0.3	42	task-sfprescaled_stimuli.npy	337	n/a
43.503	0.3	42	task-sfprescaled_stimuli.npy	341	n/a
44.003	0.3	33	task-sfprescaled_stimuli.npy	271	n/a
44.503	0.3	33	task-sfprescaled_stimuli.npy	264	n/a
45.003	0.3	33	task-sfprescaled_stimuli.npy	270	n/a
45.503	0.3	33	task-sfprescaled_stimuli.npy	268	n/a
46.003	0.3	33	task-sfprescaled_stimuli.npy	265	n/a
46.503	0.3	33	task-sfprescaled_stimuli.npy	267	n/a
47.003	0.3	33	task-sfprescaled_stimuli.npy	269	n/a
47.503	0.3	33	task-sfprescaled_stimuli.npy	266	n/a
48.003	0.3	3	task-sfprescaled_stimuli.npy	29	n/a
48.503	0.3	3	task-sfprescaled_stimuli.npy	28	n/a
49.003	0.3	3	task-sfprescaled_stimuli.npy	31	n/a
49.503	0.3	3	task-sfprescaled_stimuli.npy	24	n/a
50.003	0.3	3	task-sfprescaled_stimuli.npy	30	n/a
50.503	0.3	3	task-sfprescaled_stimuli.npy	26	n/a
51.003	0.3	3	task-sfprescaled_stimuli.npy	27	n/a
