onset	duration	trial_type	stim_file	stim_file_index	note
16.015	0.3	4	task-sfprescaled_stimuli.npy	33	n/a
16.516	0.3	4	task-sfprescaled_stimuli.npy	36	n/a
17.016	0.3	4	task-sfprescaled_stimuli.npy	39	n/a
17.515	0.3	4	task-sfprescaled_stimuli.npy	37	n/a
18.015	0.3	4	task-sfprescaled_stimuli.npy	38	n/a
18.515	0.3	4	task-sfprescaled_stimuli.npy	35	n/a
19.015	0.3	4	task-sfprescaled_stimuli.npy	32	n/a
19.517	0.3	4	task-sfprescaled_stimuli.npy	34	n/a
20.016	0.3	22	task-sfprescaled_stimuli.npy	182	n/a
20.516	0.3	22	task-sfprescaled_stimuli.npy	179	n/a
21.017	0.3	22	task-sfprescaled_stimuli.npy	177	n/a
21.517	0.3	22	task-sfprescaled_stimuli.npy	178	n/a
22.017	0.3	22	task-sfprescaled_stimuli.npy	181	n/a
22.517	0.3	22	task-sfprescaled_stimuli.npy	183	n/a
23.017	0.3	22	task-sfprescaled_stimuli.npy	176	n/a
23.517	0.3	22	task-sfprescaled_stimuli.npy	180	n/a
24.017	0.3	30	task-sfprescaled_stimuli.npy	245	n/a
24.517	0.3	30	task-sfprescaled_stimuli.npy	244	n/a
25.017	0.3	30	task-sfprescaled_stimuli.npy	247	n/a
25.517	0.3	30	task-sfprescaled_stimuli.npy	242	n/a
26.017	0.3	30	task-sfprescaled_stimuli.npy	246	n/a
26.517	0.3	30	task-sfprescaled_stimuli.npy	241	n/a
27.017	0.3	30	task-sfprescaled_stimuli.npy	240	n/a
27.502	0.3	30	task-sfprescaled_stimuli.npy	243	n/a
28.017	0.3	5	task-sfprescaled_stimuli.npy	45	n/a
28.503	0.3	5	task-sfprescaled_stimuli.npy	41	n/a
29.017	0.3	5	task-sfprescaled_stimuli.npy	47	n/a
29.502	0.3	5	task-sfprescaled_stimuli.npy	46	n/a
30.017	0.3	5	task-sfprescaled_stimuli.npy	43	n/a
30.503	0.3	5	task-sfprescaled_stimuli.npy	42	n/a
31.017	0.3	5	task-sfprescaled_stimuli.npy	44	n/a
31.503	0.3	5	task-sfprescaled_stimuli.npy	40	n/a
32.017	0.3	48	task-sfprescaled_stimuli.npy	388	blank trial
32.503	0.3	48	task-sfprescaled_stimuli.npy	387	blank trial
33.004	0.3	48	task-sfprescaled_stimuli.npy	391	blank trial
33.503	0.3	48	task-sfprescaled_stimuli.npy	389	blank trial
34.004	0.3	48	task-sfprescaled_stimuli.npy	384	blank trial
34.504	0.3	48	task-sfprescaled_stimuli.npy	386	blank trial
35.004	0.3	48	task-sfprescaled_stimuli.npy	385	blank trial
35.503	0.3	48	task-sfprescaled_stimuli.npy	390	blank trial
36.005	0.3	8	task-sfprescaled_stimuli.npy	66	n/a
36.505	0.3	8	task-sfprescaled_stimuli.npy	70	n/a
37.004	0.3	8	task-sfprescaled_stimuli.npy	64	n/a
37.505	0.3	8	task-sfprescaled_stimuli.npy	68	n/a
38.005	0.3	8	task-sfprescaled_stimuli.npy	69	n/a
38.505	0.3	8	task-sfprescaled_stimuli.npy	71	n/a
39.004	0.3	8	task-sfprescaled_stimuli.npy	67	n/a
39.505	0.3	8	task-sfprescaled_stimuli.npy	65	n/a
40.005	0.3	48	task-sfprescaled_stimuli.npy	454	blank trial
40.505	0.3	48	task-sfprescaled_stimuli.npy	455	blank trial
41.007	0.3	48	task-sfprescaled_stimuli.npy	449	blank trial
41.506	0.3	48	task-sfprescaled_stimuli.npy	451	blank trial
42.006	0.3	48	task-sfprescaled_stimuli.npy	453	blank trial
42.506	0.3	48	task-sfprescaled_stimuli.npy	448	blank trial
43.006	0.3	48	task-sfprescaled_stimuli.npy	452	blank trial
43.506	0.3	48	task-sfprescaled_stimuli.npy	450	blank trial
44.007	0.3	35	task-sfprescaled_stimuli.npy	284	n/a
44.506	0.3	35	task-sfprescaled_stimuli.npy	283	n/a
45.007	0.3	35	task-sfprescaled_stimuli.npy	282	n/a
45.508	0.3	35	task-sfprescaled_stimuli.npy	285	n/a
46.008	0.3	35	task-sfprescaled_stimuli.npy	286	n/a
46.509	0.3	35	task-sfprescaled_stimuli.npy	287	n/a
47.008	0.3	35	task-sfprescaled_stimuli.npy	280	n/a
47.508	0.3	35	task-sfprescaled_stimuli.npy	281	n/a
