onset	duration	trial_type	stim_file	stim_file_index	note
16.004	0.3	48	task-sfprescaled_stimuli.npy	430	blank trial
16.504	0.3	48	task-sfprescaled_stimuli.npy	427	blank trial
17.004	0.3	48	task-sfprescaled_stimuli.npy	429	blank trial
17.504	0.3	48	task-sfprescaled_stimuli.npy	424	blank trial
18.004	0.3	48	task-sfprescaled_stimuli.npy	428	blank trial
18.504	0.3	48	task-sfprescaled_stimuli.npy	426	blank trial
19.004	0.3	48	task-sfprescaled_stimuli.npy	431	blank trial
19.505	0.3	48	task-sfprescaled_stimuli.npy	425	blank trial
20.006	0.3	27	task-sfprescaled_stimuli.npy	220	n/a
20.505	0.3	27	task-sfprescaled_stimuli.npy	223	n/a
21.006	0.3	27	task-sfprescaled_stimuli.npy	218	n/a
21.505	0.3	27	task-sfprescaled_stimuli.npy	222	n/a
22.006	0.3	27	task-sfprescaled_stimuli.npy	221	n/a
22.505	0.3	27	task-sfprescaled_stimuli.npy	217	n/a
23.006	0.3	27	task-sfprescaled_stimuli.npy	219	n/a
23.505	0.3	27	task-sfprescaled_stimuli.npy	216	n/a
24.005	0.3	5	task-sfprescaled_stimuli.npy	40	n/a
24.508	0.3	5	task-sfprescaled_stimuli.npy	45	n/a
25.007	0.3	5	task-sfprescaled_stimuli.npy	46	n/a
25.508	0.3	5	task-sfprescaled_stimuli.npy	41	n/a
26.007	0.3	5	task-sfprescaled_stimuli.npy	43	n/a
26.508	0.3	5	task-sfprescaled_stimuli.npy	47	n/a
27.007	0.3	5	task-sfprescaled_stimuli.npy	42	n/a
27.508	0.3	5	task-sfprescaled_stimuli.npy	44	n/a
28.008	0.3	6	task-sfprescaled_stimuli.npy	53	n/a
28.508	0.3	6	task-sfprescaled_stimuli.npy	48	n/a
29.008	0.3	6	task-sfprescaled_stimuli.npy	50	n/a
29.508	0.3	6	task-sfprescaled_stimuli.npy	55	n/a
30.008	0.3	6	task-sfprescaled_stimuli.npy	49	n/a
30.508	0.3	6	task-sfprescaled_stimuli.npy	54	n/a
31.008	0.3	6	task-sfprescaled_stimuli.npy	52	n/a
31.508	0.3	6	task-sfprescaled_stimuli.npy	51	n/a
32.007	0.3	8	task-sfprescaled_stimuli.npy	68	n/a
32.508	0.3	8	task-sfprescaled_stimuli.npy	71	n/a
33.008	0.3	8	task-sfprescaled_stimuli.npy	64	n/a
33.508	0.3	8	task-sfprescaled_stimuli.npy	67	n/a
34.008	0.3	8	task-sfprescaled_stimuli.npy	65	n/a
34.509	0.3	8	task-sfprescaled_stimuli.npy	69	n/a
35.008	0.3	8	task-sfprescaled_stimuli.npy	66	n/a
35.508	0.3	8	task-sfprescaled_stimuli.npy	70	n/a
36.008	0.3	16	task-sfprescaled_stimuli.npy	134	n/a
36.508	0.3	16	task-sfprescaled_stimuli.npy	131	n/a
37.008	0.3	16	task-sfprescaled_stimuli.npy	135	n/a
37.509	0.3	16	task-sfprescaled_stimuli.npy	130	n/a
38.008	0.3	16	task-sfprescaled_stimuli.npy	129	n/a
38.508	0.3	16	task-sfprescaled_stimuli.npy	128	n/a
39.008	0.3	16	task-sfprescaled_stimuli.npy	132	n/a
39.508	0.3	16	task-sfprescaled_stimuli.npy	133	n/a
40.008	0.3	23	task-sfprescaled_stimuli.npy	186	n/a
40.508	0.3	23	task-sfprescaled_stimuli.npy	189	n/a
41.008	0.3	23	task-sfprescaled_stimuli.npy	184	n/a
41.508	0.3	23	task-sfprescaled_stimuli.npy	191	n/a
42.008	0.3	23	task-sfprescaled_stimuli.npy	190	n/a
42.508	0.3	23	task-sfprescaled_stimuli.npy	185	n/a
43.008	0.3	23	task-sfprescaled_stimuli.npy	188	n/a
43.508	0.3	23	task-sfprescaled_stimuli.npy	187	n/a
44.008	0.3	25	task-sfprescaled_stimuli.npy	205	n/a
44.508	0.3	25	task-sfprescaled_stimuli.npy	202	n/a
45.008	0.3	25	task-sfprescaled_stimuli.npy	206	n/a
45.508	0.3	25	task-sfprescaled_stimuli.npy	200	n/a
46.008	0.3	25	task-sfprescaled_stimuli.npy	203	n/a
46.508	0.3	25	task-sfprescaled_stimuli.npy	207	n/a
47.008	0.3	25	task-sfprescaled_stimuli.npy	201	n/a
47.508	0.3	25	task-sfprescaled_stimuli.npy	204	n/a
48.008	0.3	48	task-sfprescaled_stimuli.npy	414	blank trial
48.508	0.3	48	task-sfprescaled_stimuli.npy	413	blank trial
49.008	0.3	48	task-sfprescaled_stimuli.npy	408	blank trial
49.508	0.3	48	task-sfprescaled_stimuli.npy	410	blank trial
50.008	0.3	48	task-sfprescaled_stimuli.npy	412	blank trial
50.508	0.3	48	task-sfprescaled_stimuli.npy	411	blank trial
51.008	0.3	48	task-sfprescaled_stimuli.npy	415	blank trial
51.508	0.3	48	task-sfprescaled_stimuli.npy	409	blank trial
52.007	0.3	15	task-sfprescaled_stimuli.npy	127	n/a
52.508	0.3	15	task-sfprescaled_stimuli.npy	126	n/a
53.008	0.3	15	task-sfprescaled_stimuli.npy	124	n/a
53.508	0.3	15	task-sfprescaled_stimuli.npy	123	n/a
54.008	0.3	15	task-sfprescaled_stimuli.npy	121	n/a
54.508	0.3	15	task-sfprescaled_stimuli.npy	122	n/a
55.008	0.3	15	task-sfprescaled_stimuli.npy	120	n/a
55.508	0.3	15	task-sfprescaled_stimuli.npy	125	n/a
56.007	0.3	48	task-sfprescaled_stimuli.npy	444	blank trial
56.507	0.3	48	task-sfprescaled_stimuli.npy	442	blank trial
57.008	0.3	48	task-sfprescaled_stimuli.npy	446	blank trial
57.508	0.3	48	task-sfprescaled_stimuli.npy	441	blank trial
58.007	0.3	48	task-sfprescaled_stimuli.npy	443	blank trial
58.508	0.3	48	task-sfprescaled_stimuli.npy	440	blank trial
59.008	0.3	48	task-sfprescaled_stimuli.npy	447	blank trial
59.502	0.3	48	task-sfprescaled_stimuli.npy	445	blank trial
60.003	0.3	2	task-sfprescaled_stimuli.npy	18	n/a
60.503	0.3	2	task-sfprescaled_stimuli.npy	16	n/a
