onset	duration	trial_type	stim_file	stim_file_index	response_time	outcome	note
0.014	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
1.014	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
2.014	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
3.014	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
4.013	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
5.013	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
6.013	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
7.013	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
8.013	0.0	n/a	n/a	n/a	0.589	hit	n/a
9.013	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
10.013	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
11.013	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
12.013	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
13.014	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
14.013	0.0	n/a	n/a	n/a	0.589	hit	n/a
15.013	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
16.014	0.3	40	task-sfprescaled_stimuli.npy	326	n/a	correct_rejection	n/a
16.513	0.3	40	task-sfprescaled_stimuli.npy	321	n/a	n/a	n/a
17.013	0.3	40	task-sfprescaled_stimuli.npy	323	n/a	correct_rejection	n/a
17.513	0.3	40	task-sfprescaled_stimuli.npy	325	n/a	n/a	n/a
18.014	0.3	40	task-sfprescaled_stimuli.npy	324	n/a	correct_rejection	n/a
18.513	0.3	40	task-sfprescaled_stimuli.npy	322	n/a	n/a	n/a
19.012	0.3	40	task-sfprescaled_stimuli.npy	327	0.629	hit	n/a
19.514	0.3	40	task-sfprescaled_stimuli.npy	320	n/a	n/a	n/a
20.014	0.3	48	task-sfprescaled_stimuli.npy	412	n/a	correct_rejection	blank trial
20.503	0.3	48	task-sfprescaled_stimuli.npy	411	n/a	n/a	blank trial
21.013	0.3	48	task-sfprescaled_stimuli.npy	410	n/a	correct_rejection	blank trial
21.503	0.3	48	task-sfprescaled_stimuli.npy	415	n/a	n/a	blank trial
22.013	0.3	48	task-sfprescaled_stimuli.npy	413	n/a	correct_rejection	blank trial
22.503	0.3	48	task-sfprescaled_stimuli.npy	408	n/a	n/a	blank trial
23.013	0.3	48	task-sfprescaled_stimuli.npy	414	n/a	correct_rejection	blank trial
23.503	0.3	48	task-sfprescaled_stimuli.npy	409	n/a	n/a	blank trial
24.013	0.3	8	task-sfprescaled_stimuli.npy	66	n/a	correct_rejection	n/a
24.503	0.3	8	task-sfprescaled_stimuli.npy	71	n/a	n/a	n/a
25.004	0.3	8	task-sfprescaled_stimuli.npy	65	n/a	correct_rejection	n/a
25.504	0.3	8	task-sfprescaled_stimuli.npy	68	n/a	n/a	n/a
26.005	0.3	8	task-sfprescaled_stimuli.npy	64	n/a	correct_rejection	n/a
26.504	0.3	8	task-sfprescaled_stimuli.npy	67	n/a	n/a	n/a
27.004	0.3	8	task-sfprescaled_stimuli.npy	69	n/a	correct_rejection	n/a
27.504	0.3	8	task-sfprescaled_stimuli.npy	70	n/a	n/a	n/a
28.005	0.3	3	task-sfprescaled_stimuli.npy	31	0.388	hit	n/a
28.504	0.3	3	task-sfprescaled_stimuli.npy	24	n/a	n/a	n/a
29.004	0.3	3	task-sfprescaled_stimuli.npy	25	n/a	correct_rejection	n/a
29.504	0.3	3	task-sfprescaled_stimuli.npy	26	n/a	n/a	n/a
30.005	0.3	3	task-sfprescaled_stimuli.npy	28	n/a	correct_rejection	n/a
30.506	0.3	3	task-sfprescaled_stimuli.npy	30	n/a	n/a	n/a
31.006	0.3	3	task-sfprescaled_stimuli.npy	29	0.597	hit	n/a
31.506	0.3	3	task-sfprescaled_stimuli.npy	27	n/a	n/a	n/a
32.005	0.3	13	task-sfprescaled_stimuli.npy	111	n/a	correct_rejection	n/a
32.506	0.3	13	task-sfprescaled_stimuli.npy	107	n/a	n/a	n/a
33.005	0.3	13	task-sfprescaled_stimuli.npy	109	n/a	correct_rejection	n/a
33.506	0.3	13	task-sfprescaled_stimuli.npy	104	n/a	n/a	n/a
34.006	0.3	13	task-sfprescaled_stimuli.npy	106	n/a	correct_rejection	n/a
34.506	0.3	13	task-sfprescaled_stimuli.npy	110	n/a	n/a	n/a
35.008	0.3	13	task-sfprescaled_stimuli.npy	108	n/a	correct_rejection	n/a
35.508	0.3	13	task-sfprescaled_stimuli.npy	105	n/a	n/a	n/a
36.008	0.3	19	task-sfprescaled_stimuli.npy	153	n/a	correct_rejection	n/a
36.509	0.3	19	task-sfprescaled_stimuli.npy	159	n/a	n/a	n/a
37.008	0.3	19	task-sfprescaled_stimuli.npy	152	n/a	correct_rejection	n/a
37.508	0.3	19	task-sfprescaled_stimuli.npy	158	n/a	n/a	n/a
38.008	0.3	19	task-sfprescaled_stimuli.npy	155	n/a	correct_rejection	n/a
38.508	0.3	19	task-sfprescaled_stimuli.npy	157	n/a	n/a	n/a
39.008	0.3	19	task-sfprescaled_stimuli.npy	156	n/a	correct_rejection	n/a
39.509	0.3	19	task-sfprescaled_stimuli.npy	154	n/a	n/a	n/a
40.010	0.3	36	task-sfprescaled_stimuli.npy	290	n/a	correct_rejection	n/a
40.510	0.3	36	task-sfprescaled_stimuli.npy	292	n/a	n/a	n/a
41.010	0.3	36	task-sfprescaled_stimuli.npy	294	0.604	hit	n/a
41.511	0.3	36	task-sfprescaled_stimuli.npy	291	n/a	n/a	n/a
42.010	0.3	36	task-sfprescaled_stimuli.npy	289	n/a	correct_rejection	n/a
42.510	0.3	36	task-sfprescaled_stimuli.npy	295	n/a	n/a	n/a
43.011	0.3	36	task-sfprescaled_stimuli.npy	293	n/a	correct_rejection	n/a
