onset	duration	trial_type	stim_file	stim_file_index	note
16.010	0.3	48	task-sfprescaled_stimuli.npy	430	blank trial
16.510	0.3	48	task-sfprescaled_stimuli.npy	426	blank trial
17.010	0.3	48	task-sfprescaled_stimuli.npy	431	blank trial
17.502	0.3	48	task-sfprescaled_stimuli.npy	428	blank trial
18.009	0.3	48	task-sfprescaled_stimuli.npy	425	blank trial
18.510	0.3	48	task-sfprescaled_stimuli.npy	429	blank trial
19.010	0.3	48	task-sfprescaled_stimuli.npy	427	blank trial
19.510	0.3	48	task-sfprescaled_stimuli.npy	424	blank trial
20.010	0.3	37	task-sfprescaled_stimuli.npy	302	n/a
20.512	0.3	37	task-sfprescaled_stimuli.npy	299	n/a
21.012	0.3	37	task-sfprescaled_stimuli.npy	300	n/a
21.512	0.3	37	task-sfprescaled_stimuli.npy	301	n/a
22.012	0.3	37	task-sfprescaled_stimuli.npy	296	n/a
22.502	0.3	37	task-sfprescaled_stimuli.npy	297	n/a
23.011	0.3	37	task-sfprescaled_stimuli.npy	303	n/a
23.511	0.3	37	task-sfprescaled_stimuli.npy	298	n/a
24.012	0.3	18	task-sfprescaled_stimuli.npy	145	n/a
24.511	0.3	18	task-sfprescaled_stimuli.npy	147	n/a
25.012	0.3	18	task-sfprescaled_stimuli.npy	148	n/a
25.513	0.3	18	task-sfprescaled_stimuli.npy	150	n/a
26.013	0.3	18	task-sfprescaled_stimuli.npy	151	n/a
26.514	0.3	18	task-sfprescaled_stimuli.npy	144	n/a
27.013	0.3	18	task-sfprescaled_stimuli.npy	149	n/a
27.513	0.3	18	task-sfprescaled_stimuli.npy	146	n/a
28.014	0.3	5	task-sfprescaled_stimuli.npy	46	n/a
28.513	0.3	5	task-sfprescaled_stimuli.npy	40	n/a
29.014	0.3	5	task-sfprescaled_stimuli.npy	45	n/a
29.514	0.3	5	task-sfprescaled_stimuli.npy	41	n/a
30.014	0.3	5	task-sfprescaled_stimuli.npy	42	n/a
30.514	0.3	5	task-sfprescaled_stimuli.npy	44	n/a
31.015	0.3	5	task-sfprescaled_stimuli.npy	47	n/a
31.515	0.3	5	task-sfprescaled_stimuli.npy	43	n/a
32.015	0.3	20	task-sfprescaled_stimuli.npy	163	n/a
32.514	0.3	20	task-sfprescaled_stimuli.npy	161	n/a
33.014	0.3	20	task-sfprescaled_stimuli.npy	162	n/a
33.515	0.3	20	task-sfprescaled_stimuli.npy	164	n/a
34.015	0.3	20	task-sfprescaled_stimuli.npy	160	n/a
34.515	0.3	20	task-sfprescaled_stimuli.npy	165	n/a
35.015	0.3	20	task-sfprescaled_stimuli.npy	166	n/a
35.516	0.3	20	task-sfprescaled_stimuli.npy	167	n/a
36.017	0.3	48	task-sfprescaled_stimuli.npy	433	blank trial
36.517	0.3	48	task-sfprescaled_stimuli.npy	439	blank trial
37.017	0.3	48	task-sfprescaled_stimuli.npy	432	blank trial
37.516	0.3	48	task-sfprescaled_stimuli.npy	435	blank trial
38.017	0.3	48	task-sfprescaled_stimuli.npy	437	blank trial
38.516	0.3	48	task-sfprescaled_stimuli.npy	438	blank trial
39.017	0.3	48	task-sfprescaled_stimuli.npy	436	blank trial
39.516	0.3	48	task-sfprescaled_stimuli.npy	434	blank trial
40.016	0.3	44	task-sfprescaled_stimuli.npy	358	n/a
40.518	0.3	44	task-sfprescaled_stimuli.npy	353	n/a
41.018	0.3	44	task-sfprescaled_stimuli.npy	354	n/a
41.518	0.3	44	task-sfprescaled_stimuli.npy	356	n/a
42.019	0.3	44	task-sfprescaled_stimuli.npy	357	n/a
42.518	0.3	44	task-sfprescaled_stimuli.npy	352	n/a
43.018	0.3	44	task-sfprescaled_stimuli.npy	355	n/a
43.518	0.3	44	task-sfprescaled_stimuli.npy	359	n/a
44.018	0.3	48	task-sfprescaled_stimuli.npy	460	blank trial
44.519	0.3	48	task-sfprescaled_stimuli.npy	463	blank trial
