onset	duration	trial_type	stim_file	stim_file_index	note
16.012	0.3	48	task-sfprescaled_stimuli.npy	423	blank trial
16.512	0.3	48	task-sfprescaled_stimuli.npy	416	blank trial
17.013	0.3	48	task-sfprescaled_stimuli.npy	422	blank trial
17.512	0.3	48	task-sfprescaled_stimuli.npy	419	blank trial
18.013	0.3	48	task-sfprescaled_stimuli.npy	417	blank trial
18.513	0.3	48	task-sfprescaled_stimuli.npy	420	blank trial
19.012	0.3	48	task-sfprescaled_stimuli.npy	418	blank trial
19.513	0.3	48	task-sfprescaled_stimuli.npy	421	blank trial
20.013	0.3	40	task-sfprescaled_stimuli.npy	327	n/a
20.513	0.3	40	task-sfprescaled_stimuli.npy	322	n/a
21.014	0.3	40	task-sfprescaled_stimuli.npy	323	n/a
21.513	0.3	40	task-sfprescaled_stimuli.npy	326	n/a
22.013	0.3	40	task-sfprescaled_stimuli.npy	321	n/a
22.514	0.3	40	task-sfprescaled_stimuli.npy	324	n/a
23.014	0.3	40	task-sfprescaled_stimuli.npy	325	n/a
23.513	0.3	40	task-sfprescaled_stimuli.npy	320	n/a
24.014	0.3	7	task-sfprescaled_stimuli.npy	60	n/a
24.514	0.3	7	task-sfprescaled_stimuli.npy	63	n/a
25.013	0.3	7	task-sfprescaled_stimuli.npy	56	n/a
25.514	0.3	7	task-sfprescaled_stimuli.npy	57	n/a
26.014	0.3	7	task-sfprescaled_stimuli.npy	58	n/a
26.514	0.3	7	task-sfprescaled_stimuli.npy	61	n/a
27.013	0.3	7	task-sfprescaled_stimuli.npy	59	n/a
27.513	0.3	7	task-sfprescaled_stimuli.npy	62	n/a
28.013	0.3	0	task-sfprescaled_stimuli.npy	0	n/a
28.513	0.3	0	task-sfprescaled_stimuli.npy	7	n/a
29.013	0.3	0	task-sfprescaled_stimuli.npy	6	n/a
29.514	0.3	0	task-sfprescaled_stimuli.npy	5	n/a
30.013	0.3	0	task-sfprescaled_stimuli.npy	3	n/a
30.513	0.3	0	task-sfprescaled_stimuli.npy	4	n/a
31.013	0.3	0	task-sfprescaled_stimuli.npy	1	n/a
31.513	0.3	0	task-sfprescaled_stimuli.npy	2	n/a
32.013	0.3	25	task-sfprescaled_stimuli.npy	205	n/a
32.514	0.3	25	task-sfprescaled_stimuli.npy	200	n/a
33.013	0.3	25	task-sfprescaled_stimuli.npy	202	n/a
33.513	0.3	25	task-sfprescaled_stimuli.npy	206	n/a
34.013	0.3	25	task-sfprescaled_stimuli.npy	207	n/a
34.513	0.3	25	task-sfprescaled_stimuli.npy	203	n/a
35.013	0.3	25	task-sfprescaled_stimuli.npy	204	n/a
35.513	0.3	25	task-sfprescaled_stimuli.npy	201	n/a
36.012	0.3	48	task-sfprescaled_stimuli.npy	407	blank trial
36.502	0.3	48	task-sfprescaled_stimuli.npy	404	blank trial
37.013	0.3	48	task-sfprescaled_stimuli.npy	400	blank trial
37.503	0.3	48	task-sfprescaled_stimuli.npy	403	blank trial
38.002	0.3	48	task-sfprescaled_stimuli.npy	406	blank trial
38.503	0.3	48	task-sfprescaled_stimuli.npy	405	blank trial
39.013	0.3	48	task-sfprescaled_stimuli.npy	401	blank trial
39.503	0.3	48	task-sfprescaled_stimuli.npy	402	blank trial
40.014	0.3	37	task-sfprescaled_stimuli.npy	299	n/a
40.503	0.3	37	task-sfprescaled_stimuli.npy	302	n/a
41.005	0.3	37	task-sfprescaled_stimuli.npy	300	n/a
41.504	0.3	37	task-sfprescaled_stimuli.npy	301	n/a
42.004	0.3	37	task-sfprescaled_stimuli.npy	303	n/a
42.504	0.3	37	task-sfprescaled_stimuli.npy	296	n/a
43.004	0.3	37	task-sfprescaled_stimuli.npy	298	n/a
43.504	0.3	37	task-sfprescaled_stimuli.npy	297	n/a
44.004	0.3	23	task-sfprescaled_stimuli.npy	191	n/a
44.504	0.3	23	task-sfprescaled_stimuli.npy	189	n/a
45.004	0.3	23	task-sfprescaled_stimuli.npy	190	n/a
45.504	0.3	23	task-sfprescaled_stimuli.npy	188	n/a
46.005	0.3	23	task-sfprescaled_stimuli.npy	187	n/a
46.505	0.3	23	task-sfprescaled_stimuli.npy	186	n/a
47.006	0.3	23	task-sfprescaled_stimuli.npy	185	n/a
47.506	0.3	23	task-sfprescaled_stimuli.npy	184	n/a
48.006	0.3	39	task-sfprescaled_stimuli.npy	314	n/a
48.506	0.3	39	task-sfprescaled_stimuli.npy	317	n/a
49.005	0.3	39	task-sfprescaled_stimuli.npy	319	n/a
49.506	0.3	39	task-sfprescaled_stimuli.npy	315	n/a
50.006	0.3	39	task-sfprescaled_stimuli.npy	316	n/a
50.507	0.3	39	task-sfprescaled_stimuli.npy	313	n/a
51.007	0.3	39	task-sfprescaled_stimuli.npy	312	n/a
51.507	0.3	39	task-sfprescaled_stimuli.npy	318	n/a
