onset	duration	trial_type	stim_file	stim_file_index	note
16.009	0.3	22	task-sfprescaled_stimuli.npy	176	n/a
16.510	0.3	22	task-sfprescaled_stimuli.npy	180	n/a
17.010	0.3	22	task-sfprescaled_stimuli.npy	181	n/a
17.503	0.3	22	task-sfprescaled_stimuli.npy	178	n/a
18.010	0.3	22	task-sfprescaled_stimuli.npy	182	n/a
18.503	0.3	22	task-sfprescaled_stimuli.npy	179	n/a
19.010	0.3	22	task-sfprescaled_stimuli.npy	177	n/a
19.503	0.3	22	task-sfprescaled_stimuli.npy	183	n/a
20.010	0.3	24	task-sfprescaled_stimuli.npy	194	n/a
20.503	0.3	24	task-sfprescaled_stimuli.npy	197	n/a
21.010	0.3	24	task-sfprescaled_stimuli.npy	198	n/a
21.503	0.3	24	task-sfprescaled_stimuli.npy	196	n/a
22.005	0.3	24	task-sfprescaled_stimuli.npy	199	n/a
22.504	0.3	24	task-sfprescaled_stimuli.npy	192	n/a
23.005	0.3	24	task-sfprescaled_stimuli.npy	193	n/a
23.504	0.3	24	task-sfprescaled_stimuli.npy	195	n/a
24.005	0.3	48	task-sfprescaled_stimuli.npy	385	blank trial
24.504	0.3	48	task-sfprescaled_stimuli.npy	387	blank trial
25.005	0.3	48	task-sfprescaled_stimuli.npy	389	blank trial
25.505	0.3	48	task-sfprescaled_stimuli.npy	388	blank trial
26.005	0.3	48	task-sfprescaled_stimuli.npy	391	blank trial
26.505	0.3	48	task-sfprescaled_stimuli.npy	386	blank trial
27.006	0.3	48	task-sfprescaled_stimuli.npy	390	blank trial
27.506	0.3	48	task-sfprescaled_stimuli.npy	384	blank trial
28.006	0.3	12	task-sfprescaled_stimuli.npy	103	n/a
28.506	0.3	12	task-sfprescaled_stimuli.npy	97	n/a
29.006	0.3	12	task-sfprescaled_stimuli.npy	98	n/a
29.506	0.3	12	task-sfprescaled_stimuli.npy	100	n/a
30.006	0.3	12	task-sfprescaled_stimuli.npy	101	n/a
30.506	0.3	12	task-sfprescaled_stimuli.npy	99	n/a
