onset	duration	trial_type	stim_file	stim_file_index	note
16.012	0.3	37	task-sfprescaled_stimuli.npy	302	n/a
16.503	0.3	37	task-sfprescaled_stimuli.npy	301	n/a
17.011	0.3	37	task-sfprescaled_stimuli.npy	296	n/a
17.503	0.3	37	task-sfprescaled_stimuli.npy	303	n/a
18.011	0.3	37	task-sfprescaled_stimuli.npy	297	n/a
18.503	0.3	37	task-sfprescaled_stimuli.npy	299	n/a
19.012	0.3	37	task-sfprescaled_stimuli.npy	300	n/a
19.503	0.3	37	task-sfprescaled_stimuli.npy	298	n/a
20.012	0.3	48	task-sfprescaled_stimuli.npy	438	blank trial
20.502	0.3	48	task-sfprescaled_stimuli.npy	433	blank trial
21.013	0.3	48	task-sfprescaled_stimuli.npy	432	blank trial
21.502	0.3	48	task-sfprescaled_stimuli.npy	437	blank trial
22.012	0.3	48	task-sfprescaled_stimuli.npy	436	blank trial
22.502	0.3	48	task-sfprescaled_stimuli.npy	435	blank trial
23.014	0.3	48	task-sfprescaled_stimuli.npy	434	blank trial
23.502	0.3	48	task-sfprescaled_stimuli.npy	439	blank trial
24.014	0.3	26	task-sfprescaled_stimuli.npy	208	n/a
24.503	0.3	26	task-sfprescaled_stimuli.npy	210	n/a
25.014	0.3	26	task-sfprescaled_stimuli.npy	212	n/a
25.503	0.3	26	task-sfprescaled_stimuli.npy	215	n/a
26.015	0.3	26	task-sfprescaled_stimuli.npy	214	n/a
26.503	0.3	26	task-sfprescaled_stimuli.npy	209	n/a
27.015	0.3	26	task-sfprescaled_stimuli.npy	213	n/a
27.503	0.3	26	task-sfprescaled_stimuli.npy	211	n/a
28.015	0.3	30	task-sfprescaled_stimuli.npy	240	n/a
28.503	0.3	30	task-sfprescaled_stimuli.npy	242	n/a
29.015	0.3	30	task-sfprescaled_stimuli.npy	246	n/a
29.503	0.3	30	task-sfprescaled_stimuli.npy	245	n/a
30.015	0.3	30	task-sfprescaled_stimuli.npy	241	n/a
30.503	0.3	30	task-sfprescaled_stimuli.npy	243	n/a
31.016	0.3	30	task-sfprescaled_stimuli.npy	247	n/a
