onset	duration	trial_type	stim_file	stim_file_index	response_time	outcome	note
0.009	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
1.008	0.0	n/a	n/a	n/a	0.595	hit	n/a
2.009	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
3.009	0.0	n/a	n/a	n/a	0.313	hit	n/a
4.010	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
5.011	0.0	n/a	n/a	n/a	0.302	hit	n/a
6.011	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
7.010	0.0	n/a	n/a	n/a	0.256	hit	n/a
8.011	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
9.012	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
10.012	0.0	n/a	n/a	n/a	0.375	hit	n/a
11.012	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
12.012	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
13.013	0.0	n/a	n/a	n/a	0.589	hit	n/a
14.014	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
15.014	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
16.013	0.3	12	task-sfprescaled_stimuli.npy	101	n/a	correct_rejection	n/a
16.515	0.3	12	task-sfprescaled_stimuli.npy	100	n/a	n/a	n/a
17.014	0.3	12	task-sfprescaled_stimuli.npy	102	0.370	hit	n/a
17.514	0.3	12	task-sfprescaled_stimuli.npy	97	n/a	n/a	n/a
18.015	0.3	12	task-sfprescaled_stimuli.npy	98	n/a	correct_rejection	n/a
18.515	0.3	12	task-sfprescaled_stimuli.npy	96	n/a	n/a	n/a
19.015	0.3	12	task-sfprescaled_stimuli.npy	103	n/a	correct_rejection	n/a
19.515	0.3	12	task-sfprescaled_stimuli.npy	99	n/a	n/a	n/a
20.015	0.3	33	task-sfprescaled_stimuli.npy	267	n/a	correct_rejection	n/a
20.514	0.3	33	task-sfprescaled_stimuli.npy	268	n/a	n/a	n/a
21.015	0.3	33	task-sfprescaled_stimuli.npy	270	n/a	correct_rejection	n/a
21.515	0.3	33	task-sfprescaled_stimuli.npy	271	n/a	n/a	n/a
22.015	0.3	33	task-sfprescaled_stimuli.npy	264	n/a	correct_rejection	n/a
22.515	0.3	33	task-sfprescaled_stimuli.npy	269	n/a	n/a	n/a
23.015	0.3	33	task-sfprescaled_stimuli.npy	266	0.416	hit	n/a
23.514	0.3	33	task-sfprescaled_stimuli.npy	265	n/a	n/a	n/a
24.015	0.3	21	task-sfprescaled_stimuli.npy	172	n/a	correct_rejection	n/a
24.514	0.3	21	task-sfprescaled_stimuli.npy	170	n/a	n/a	n/a
25.014	0.3	21	task-sfprescaled_stimuli.npy	168	n/a	correct_rejection	n/a
25.514	0.3	21	task-sfprescaled_stimuli.npy	173	n/a	n/a	n/a
26.014	0.3	21	task-sfprescaled_stimuli.npy	171	0.420	hit	n/a
26.514	0.3	21	task-sfprescaled_stimuli.npy	174	n/a	n/a	n/a
27.014	0.3	21	task-sfprescaled_stimuli.npy	175	n/a	correct_rejection	n/a
27.514	0.3	21	task-sfprescaled_stimuli.npy	169	n/a	n/a	n/a
28.015	0.3	38	task-sfprescaled_stimuli.npy	305	n/a	correct_rejection	n/a
28.514	0.3	38	task-sfprescaled_stimuli.npy	308	n/a	n/a	n/a
29.015	0.3	38	task-sfprescaled_stimuli.npy	310	n/a	correct_rejection	n/a
29.515	0.3	38	task-sfprescaled_stimuli.npy	304	n/a	n/a	n/a
